NO_COMP,IBM,DIFF,DIFF_IBM
4.2862529867125305e-05,1.2015414354126056e-05,3.030530170145205e-05,2.884350111856733e-05
6.097151959008958e-05,1.7198820008770494e-05,4.417127468247907e-05,4.1781427300406225e-05
0.00011985286955236158,2.4826207122270997e-05,6.314333963336573e-05,5.958150791872236e-05
0.00016825999277656585,3.4313841138752036e-05,9.037767529810677e-05,8.416187416479273e-05
0.00033553122933069736,4.976759349588274e-05,0.00013259732780379258,0.00011828837430523346
0.0004679562706247522,6.982694083083376e-05,0.00018638650560303947,0.00016722965216468266
