NO_COMP,IBM,DIFF,DIFF_IBM
3.4908408726751925e-05,1.046537784613316e-05,2.3221253309306995e-05,2.265522642371849e-05
4.9323161490740406e-05,1.5098827904157843e-05,3.4044575082395666e-05,3.321388499625385e-05
9.669099884117661e-05,2.1993779231653562e-05,4.80808805976599e-05,4.6853933343331265e-05
0.00013587452252671487,3.051608237695889e-05,6.878253738539525e-05,6.674055014044546e-05
0.0002667828941756471,4.397385501846633e-05,9.857249667943532e-05,9.43759540114822e-05
0.00037408670828181794,6.200322990359731e-05,0.00013905892175078693,0.00013273546902843716
